Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,28.020000,28.549999,27.559999,27.799999,27.799999,15799600
2020-05-06,27.959999,28.129999,26.750000,26.990000,26.990000,20312700
2020-05-07,27.440001,27.450001,26.070000,26.260000,26.260000,26405900
2020-05-08,27.100000,27.709999,26.799999,27.100000,27.100000,17576000
2020-05-11,26.900000,28.129999,26.799999,27.270000,27.270000,17332500
2020-05-12,27.440001,27.549999,26.260000,26.309999,26.309999,24140900
2020-05-13,26.650000,26.850000,25.230000,25.549999,25.549999,26406100
2020-05-14,25.000000,26.799999,24.750000,26.650000,26.650000,36194500
2020-05-15,26.500000,27.080000,25.840000,26.150000,26.150000,23436500
2020-05-18,27.129999,27.780001,26.650000,27.400000,27.400000,18756800
2020-05-19,27.260000,27.780001,26.660000,26.660000,26.660000,16726100
2020-05-20,27.000000,27.639999,26.770000,27.330000,27.330000,22799800
2020-05-21,27.639999,29.290001,27.480000,29.260000,29.260000,30519600
2020-05-22,28.860001,29.150000,27.910000,28.510000,28.510000,26947900
2020-05-25,30.000000,31.500000,29.799999,31.500000,31.500000,31886800
2020-05-26,32.500000,32.930000,30.230000,30.790001,30.790001,30820300
2020-05-27,31.629999,31.629999,30.500000,30.900000,30.900000,19310400
2020-05-28,30.610001,31.459999,30.209999,30.790001,30.790001,20732700
2020-05-29,30.500000,30.850000,29.750000,30.840000,30.840000,26926700
2020-06-01,30.770000,32.150002,30.559999,31.799999,31.799999,22043600
2020-06-02,32.599998,32.900002,32.279999,32.820000,32.820000,15772200
2020-06-03,34.470001,35.000000,33.840000,34.750000,34.750000,29497200
2020-06-04,34.430000,35.570000,33.520000,34.939999,34.939999,23947100
2020-06-05,37.410000,38.169998,35.009998,35.200001,35.200001,35546100
2020-06-08,35.820000,36.810001,35.500000,36.389999,36.389999,22264000
2020-06-09,35.540001,37.080002,35.119999,35.790001,35.790001,28728300
2020-06-10,36.360001,36.410000,34.209999,34.209999,34.209999,27346200
2020-06-12,33.000000,33.880001,32.810001,33.349998,33.349998,28797800
